"","object","original_response","cleaned_response","creativity"
"1","brick","aangeven dat je in nood bent door er lawaai mee te maken","aangeven nood bent lawaai","3.9"
"2","brick","afbakening","afbakening","2.2"
"3","brick","anker","anker","3"
"4","brick","auto","auto","3.7"
"5","brick","bakken","bakken","3"
"6","brick","bakken","bakken","3"
"7","brick","baksteenwerpen","baksteen werpen","2.3"
"8","brick","je kan een baksteen gebruiken zodat je blaadjes niet weg waaien","baksteen zodat blaadjes niet weg waaien","2.3"
"9","brick","balspel","balspel","3"
"10","brick","balsport ervanger","balsport vervanger","3"
"11","brick","bankje","bankje","3"
"12","brick","barbecue","barbecue","3.1"
"13","brick","om op te bbq'en","barbecueën","3.1"
"14","brick","bed","bed","3.1"
"15","brick","Een bed van bouwen","bed bouwen","2.2"
"16","brick","beeldhouwen","beeldhouwen","2.2"
"17","brick","begraven","begraven","3"
"18","brick","betongieten in een mal","beton gieten mal","2.1"
"19","brick","bierflesje openen","bierflesje openen","3.2"
"20","brick","iets bijschaven","bijschaven","3"
"21","brick","als blokje voor een voetbal spel","blokje voetbal spel","3.1"
"22","brick","blokken","blokken","2.2"
"23","brick","blokken bouwen","blokken bouwen","2.2"
"24","brick","boekenlegger","boekenlegger","2.9"
"25","brick","boekensteun","boekensteun","2.3"
"26","brick","boekensteun","boekensteun","2.3"
"27","brick","boekensteun","boekensteun","2.3"
"28","brick","boekensteun","boekensteun","2.3"
"29","brick","bord om te eten","bord eten","3"
"30","brick","bouwen","bouwen","1.4"
"31","brick","bouwen","bouwen","1.4"
"32","brick","Bouwen","bouwen","1.4"
"33","brick","bouwen","bouwen","1.4"
"34","brick","breken","breken","2.2"
"35","brick","brug","brug","3.1"
"36","brick","buitenoven maken","buitenoven","3"
"37","brick","contragewicht","contragewicht","2.2"
"38","brick","contragewicht","contragewicht","2.2"
"39","brick","dak","dak","3.1"
"40","brick","decoratie","decoratie","3.1"
"41","brick","decoratie","decoratie","3.1"
"42","brick","decoratie","decoratie","3.1"
